Level,Date and Time,Source,Event ID,Task Category
Information,21.9.2016 г. 12:24:18 ч.,EventLog,6005,None,The Event log service was started.
Information,21.9.2016 г. 11:52:53 ч.,EventLog,6006,None,The Event log service was stopped.
Information,21.9.2016 г. 10:23:23 ч.,EventLog,6005,None,The Event log service was started.
Information,21.9.2016 г. 01:05:17 ч.,EventLog,6006,None,The Event log service was stopped.
Information,20.9.2016 г. 17:49:35 ч.,EventLog,6005,None,The Event log service was started.
Information,20.9.2016 г. 13:32:37 ч.,EventLog,6005,None,The Event log service was started.
Information,20.9.2016 г. 09:52:08 ч.,EventLog,6005,None,The Event log service was started.
Information,19.9.2016 г. 11:41:17 ч.,EventLog,6006,None,The Event log service was stopped.
Information,19.9.2016 г. 09:53:58 ч.,EventLog,6005,None,The Event log service was started.
Information,16.9.2016 г. 13:21:43 ч.,EventLog,6006,None,The Event log service was stopped.
Information,16.9.2016 г. 09:20:32 ч.,EventLog,6005,None,The Event log service was started.
Information,15.9.2016 г. 11:39:35 ч.,EventLog,6006,None,The Event log service was stopped.
Information,15.9.2016 г. 09:32:27 ч.,EventLog,6005,None,The Event log service was started.
Information,14.9.2016 г. 20:38:55 ч.,EventLog,6006,None,The Event log service was stopped.
Information,14.9.2016 г. 20:37:03 ч.,EventLog,6005,None,The Event log service was started.
Information,14.9.2016 г. 20:31:44 ч.,EventLog,6005,None,The Event log service was started.
Information,14.9.2016 г. 11:15:57 ч.,EventLog,6006,None,The Event log service was stopped.
Information,14.9.2016 г. 09:20:40 ч.,EventLog,6005,None,The Event log service was started.
Information,14.9.2016 г. 00:07:56 ч.,EventLog,6006,None,The Event log service was stopped.
Information,13.9.2016 г. 22:58:18 ч.,EventLog,6005,None,The Event log service was started.
Information,13.9.2016 г. 13:03:47 ч.,EventLog,6006,None,The Event log service was stopped.
Information,13.9.2016 г. 10:40:27 ч.,EventLog,6005,None,The Event log service was started.
Information,13.9.2016 г. 07:54:21 ч.,EventLog,6005,None,The Event log service was started.
Information,12.9.2016 г. 19:22:41 ч.,EventLog,6006,None,The Event log service was stopped.
Information,12.9.2016 г. 17:13:49 ч.,EventLog,6005,None,The Event log service was started.
Information,11.9.2016 г. 19:07:23 ч.,EventLog,6006,None,The Event log service was stopped.
Information,11.9.2016 г. 19:04:59 ч.,EventLog,6005,None,The Event log service was started.
Information,11.9.2016 г. 19:03:52 ч.,EventLog,6006,None,The Event log service was stopped.
Information,11.9.2016 г. 09:45:31 ч.,EventLog,6005,None,The Event log service was started.
Information,29.8.2016 г. 18:12:17 ч.,EventLog,6006,None,The Event log service was stopped.
Information,29.8.2016 г. 13:01:10 ч.,EventLog,6005,None,The Event log service was started.
Information,29.8.2016 г. 09:57:08 ч.,EventLog,6006,None,The Event log service was stopped.
Information,29.8.2016 г. 09:48:27 ч.,EventLog,6005,None,The Event log service was started.
Information,28.8.2016 г. 19:03:03 ч.,EventLog,6006,None,The Event log service was stopped.
Information,28.8.2016 г. 11:49:29 ч.,EventLog,6005,None,The Event log service was started.
Information,26.8.2016 г. 18:17:54 ч.,EventLog,6006,None,The Event log service was stopped.
Information,26.8.2016 г. 12:28:33 ч.,EventLog,6005,None,The Event log service was started.
Information,25.8.2016 г. 17:53:23 ч.,EventLog,6006,None,The Event log service was stopped.
Information,25.8.2016 г. 13:42:30 ч.,EventLog,6005,None,The Event log service was started.
Information,23.8.2016 г. 10:53:08 ч.,EventLog,6006,None,The Event log service was stopped.
Information,23.8.2016 г. 10:09:38 ч.,EventLog,6005,None,The Event log service was started.
Information,23.8.2016 г. 00:55:33 ч.,EventLog,6006,None,The Event log service was stopped.
Information,22.8.2016 г. 19:34:46 ч.,EventLog,6005,None,The Event log service was started.
Information,22.8.2016 г. 19:34:05 ч.,EventLog,6006,None,The Event log service was stopped.
Information,22.8.2016 г. 19:14:11 ч.,EventLog,6005,None,The Event log service was started.
Information,22.8.2016 г. 19:13:29 ч.,EventLog,6006,None,The Event log service was stopped.
Information,22.8.2016 г. 17:53:23 ч.,EventLog,6005,None,The Event log service was started.
Information,18.8.2016 г. 13:14:28 ч.,EventLog,6006,None,The Event log service was stopped.
Information,18.8.2016 г. 10:37:43 ч.,EventLog,6005,None,The Event log service was started.
Information,17.8.2016 г. 23:20:20 ч.,EventLog,6006,None,The Event log service was stopped.
Information,17.8.2016 г. 19:49:18 ч.,EventLog,6005,None,The Event log service was started.
Information,17.8.2016 г. 11:18:19 ч.,EventLog,6006,None,The Event log service was stopped.
Information,17.8.2016 г. 10:06:12 ч.,EventLog,6005,None,The Event log service was started.
Information,16.8.2016 г. 18:22:03 ч.,EventLog,6005,None,The Event log service was started.
Information,16.8.2016 г. 18:20:07 ч.,EventLog,6005,None,The Event log service was started.
Information,15.8.2016 г. 17:56:14 ч.,EventLog,6006,None,The Event log service was stopped.
Information,15.8.2016 г. 16:34:50 ч.,EventLog,6005,None,The Event log service was started.
Information,14.8.2016 г. 17:30:45 ч.,EventLog,6006,None,The Event log service was stopped.
Information,14.8.2016 г. 16:07:31 ч.,EventLog,6005,None,The Event log service was started.
Information,14.8.2016 г. 15:38:23 ч.,EventLog,6005,None,The Event log service was started.
Information,13.8.2016 г. 16:37:23 ч.,EventLog,6006,None,The Event log service was stopped.
Information,13.8.2016 г. 11:03:04 ч.,EventLog,6005,None,The Event log service was started.
Information,12.8.2016 г. 11:02:43 ч.,EventLog,6006,None,The Event log service was stopped.
Information,12.8.2016 г. 10:43:46 ч.,EventLog,6005,None,The Event log service was started.
Information,9.8.2016 г. 11:10:52 ч.,EventLog,6006,None,The Event log service was stopped.
Information,9.8.2016 г. 10:25:50 ч.,EventLog,6005,None,The Event log service was started.
Information,7.8.2016 г. 20:47:01 ч.,EventLog,6006,None,The Event log service was stopped.
Information,7.8.2016 г. 18:29:28 ч.,EventLog,6005,None,The Event log service was started.
Information,5.8.2016 г. 02:18:43 ч.,EventLog,6006,None,The Event log service was stopped.
Information,5.8.2016 г. 00:23:16 ч.,EventLog,6005,None,The Event log service was started.
Information,4.8.2016 г. 16:37:14 ч.,EventLog,6006,None,The Event log service was stopped.
Information,4.8.2016 г. 16:18:46 ч.,EventLog,6005,None,The Event log service was started.
Information,4.8.2016 г. 01:50:08 ч.,EventLog,6006,None,The Event log service was stopped.
Information,3.8.2016 г. 23:50:14 ч.,EventLog,6005,None,The Event log service was started.
Information,3.8.2016 г. 23:04:27 ч.,EventLog,6005,None,The Event log service was started.
Information,3.8.2016 г. 22:42:51 ч.,EventLog,6005,None,The Event log service was started.
Information,3.8.2016 г. 11:39:48 ч.,EventLog,6006,None,The Event log service was stopped.
Information,3.8.2016 г. 10:16:34 ч.,EventLog,6005,None,The Event log service was started.
Information,3.8.2016 г. 01:25:36 ч.,EventLog,6006,None,The Event log service was stopped.
Information,2.8.2016 г. 23:49:36 ч.,EventLog,6005,None,The Event log service was started.
Information,2.8.2016 г. 01:39:16 ч.,EventLog,6006,None,The Event log service was stopped.
Information,2.8.2016 г. 00:17:59 ч.,EventLog,6005,None,The Event log service was started.
Information,1.8.2016 г. 01:26:13 ч.,EventLog,6006,None,The Event log service was stopped.
Information,1.8.2016 г. 00:39:01 ч.,EventLog,6005,None,The Event log service was started.
Information,31.7.2016 г. 23:17:19 ч.,EventLog,6005,None,The Event log service was started.
Information,29.7.2016 г. 12:09:03 ч.,EventLog,6006,None,The Event log service was stopped.
Information,29.7.2016 г. 10:54:05 ч.,EventLog,6005,None,The Event log service was started.
Information,28.7.2016 г. 20:02:54 ч.,EventLog,6006,None,The Event log service was stopped.
Information,28.7.2016 г. 14:03:01 ч.,EventLog,6005,None,The Event log service was started.
Information,28.7.2016 г. 11:36:24 ч.,EventLog,6006,None,The Event log service was stopped.
Information,28.7.2016 г. 11:23:33 ч.,EventLog,6005,None,The Event log service was started.
Information,28.7.2016 г. 11:23:01 ч.,EventLog,6006,None,The Event log service was stopped.
Information,28.7.2016 г. 11:19:54 ч.,EventLog,6005,None,The Event log service was started.
Information,28.7.2016 г. 11:17:52 ч.,EventLog,6005,None,The Event log service was started.
Information,27.7.2016 г. 19:18:31 ч.,EventLog,6006,None,The Event log service was stopped.
Information,27.7.2016 г. 15:13:41 ч.,EventLog,6005,None,The Event log service was started.
Information,27.7.2016 г. 00:59:38 ч.,EventLog,6006,None,The Event log service was stopped.
Information,27.7.2016 г. 00:20:09 ч.,EventLog,6005,None,The Event log service was started.
Information,26.7.2016 г. 20:57:18 ч.,EventLog,6006,None,The Event log service was stopped.
Information,26.7.2016 г. 18:29:37 ч.,EventLog,6005,None,The Event log service was started.
Information,26.7.2016 г. 02:15:13 ч.,EventLog,6006,None,The Event log service was stopped.
Information,26.7.2016 г. 00:31:43 ч.,EventLog,6005,None,The Event log service was started.
Information,25.7.2016 г. 01:04:50 ч.,EventLog,6005,None,The Event log service was started.
Information,25.7.2016 г. 00:15:00 ч.,EventLog,6006,None,The Event log service was stopped.
Information,25.7.2016 г. 00:12:36 ч.,EventLog,6005,None,The Event log service was started.
Information,25.7.2016 г. 00:11:56 ч.,EventLog,6006,None,The Event log service was stopped.
Information,25.7.2016 г. 00:07:13 ч.,EventLog,6005,None,The Event log service was started.
Information,24.7.2016 г. 20:09:41 ч.,EventLog,6006,None,The Event log service was stopped.
Information,24.7.2016 г. 13:28:50 ч.,EventLog,6005,None,The Event log service was started.
Information,24.7.2016 г. 13:24:37 ч.,EventLog,6005,None,The Event log service was started.
Information,24.7.2016 г. 03:07:39 ч.,EventLog,6006,None,The Event log service was stopped.
Information,24.7.2016 г. 03:06:21 ч.,EventLog,6005,None,The Event log service was started.
Information,23.7.2016 г. 21:56:00 ч.,EventLog,6005,None,The Event log service was started.
Information,23.7.2016 г. 21:09:56 ч.,EventLog,6006,None,The Event log service was stopped.
Information,23.7.2016 г. 14:49:04 ч.,EventLog,6005,None,The Event log service was started.
Information,23.7.2016 г. 11:34:25 ч.,EventLog,6006,None,The Event log service was stopped.
Information,23.7.2016 г. 10:33:49 ч.,EventLog,6005,None,The Event log service was started.
Information,22.7.2016 г. 20:51:57 ч.,EventLog,6006,None,The Event log service was stopped.
Information,22.7.2016 г. 11:07:58 ч.,EventLog,6005,None,The Event log service was started.
Information,22.7.2016 г. 11:07:21 ч.,EventLog,6006,None,The Event log service was stopped.
Information,22.7.2016 г. 10:32:15 ч.,EventLog,6005,None,The Event log service was started.
Information,21.7.2016 г. 21:47:21 ч.,EventLog,6006,None,The Event log service was stopped.
Information,21.7.2016 г. 20:23:05 ч.,EventLog,6005,None,The Event log service was started.
Information,21.7.2016 г. 16:58:17 ч.,EventLog,6006,None,The Event log service was stopped.
Information,21.7.2016 г. 11:25:19 ч.,EventLog,6005,None,The Event log service was started.
Information,20.7.2016 г. 14:40:31 ч.,EventLog,6006,None,The Event log service was stopped.
Information,20.7.2016 г. 12:25:13 ч.,EventLog,6005,None,The Event log service was started.
Information,16.7.2016 г. 11:09:29 ч.,EventLog,6006,None,The Event log service was stopped.
Information,16.7.2016 г. 10:17:59 ч.,EventLog,6005,None,The Event log service was started.
